INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
Franklin and Marshall College,1986,PA,40.048045,-76.319037,0.3623,0.856,0.8782,76124,502264910
Gannon University,2588,PA,42.128403,-80.087166,0.8085,0.6965,0.7865,58845,83133000
Geneva College,1013,PA,40.772518,-80.321826,0.7905,0.6886,0.7531,50004,60245898
Gettysburg College,2236,PA,39.836597,-77.236792,0.5631,0.8161,0.8857,71517,401598853
Gwynedd Mercy University,1217,PA,40.19774,-75.237224,0.5842,0.565,0.7643,67145,41345000
Haverford College,1417,PA,40.007452,-75.305207,0.1421,0.914,0.9611,79966,641484724
Holy Family University,2124,PA,40.060581,-74.986451,0.7744,0.5854,0.7919,62235,27320970
Immaculata University,1248,PA,40.027981,-75.570711,0.6974,0.6111,0.8316,75701,26723755
Indiana University of Pennsylvania-Main Campus,6611,PA,40.617531,-79.159332,0.9194,0.521,0.706,51019,89369879
Juniata College,1116,PA,40.500523,-78.017292,0.7616,0.7056,0.8066,56918,136576314
Keystone College,1009,PA,41.558969,-75.777456,0.8066,0.43120000000000003,0.6447,44976,2908780
King's College,1595,PA,41.250097,-75.879822,0.9599,0.5754,0.777,59498,126045340
Kutztown University of Pennsylvania,6334,PA,40.513561,-75.783933,0.9614,0.5636,0.7929,53775,45057816
La Roche University,794,PA,40.568615,-80.014851,0.9736,0.553,0.6667,52341,7401471
La Salle University,2275,PA,40.037979,-75.153061,0.9425,0.6198,0.6933,67416,95640008
Lafayette College,2725,PA,40.69956,-75.209786,0.3363,0.8918,0.899,91410,1085032000
Lancaster Bible College,1286,PA,40.075347,-76.287761,0.9715,0.6829,0.8071,44096,18224798
Lebanon Valley College,1618,PA,40.330604,-76.514431,0.7674,0.6824,0.8922,62621,89331863
Lehigh University,5612,PA,40.606822,-75.380236,0.3698,0.9119,0.9085,105584,1784613000
Lincoln University,1704,PA,39.807723,-75.926458,0.8061,0.4468,0.789,43167,57007261
Lycoming College,1046,PA,41.24666,-77,0.7522,0.6385,0.721,56210,229609000
Manor College,461,PA,40.08714,-75.104786,0.9321,0.3558,0.6087,46825,3738284
Marywood University,1793,PA,41.434587,-75.634142,0.8076,0.7554,0.8252,55817,62123958
Mercyhurst University,2367,PA,42.10578,-80.053412,0.8055,0.6333,0.7997,47452,38484278
Messiah University,2327,PA,40.156579,-76.988269,0.7941,0.7825,0.86,54064,140197914
Millersville University of Pennsylvania,5697,PA,40.000337,-76.357381,0.9242,0.5702,0.7659,55246,40543748
Misericordia University,1727,PA,41.345277,-75.971541,0.8871,0.7494,0.8028,64313,69117589
Moore College of Art and Design,355,PA,39.957078,-75.172105,0.5318,0.6143,0.732,37839,42258030
Moravian University,1864,PA,40.630947,-75.383638,0.6702,0.6985,0.7773,61860,146329266
Mount Aloysius College,1097,PA,40.459679,-78.600898,0.8595,0.4596,0.7405,46165,53144970
Muhlenberg College,1933,PA,40.596416,-75.508501999999993,0.6551,0.828,0.9089,69107,341456000
Neumann University,1595,PA,39.874876,-75.440022,0.8546,0.5413,0.7095,57817,42093831
Pennsylvania State University-Penn State Erie-Behrend College,3149,PA,42.119417,-79.983818,0.9544,0.4229,0.8219,63435,79264634
Pennsylvania State University-Penn State New Kensington,440,PA,40.551056,-79.697461,0.9145,0.2821,0.7559,63435,12442704
Pennsylvania State University-Penn State Shenango,223,PA,41.235131,-80.50924,0.8698,0.2333,0.8214,63435,8295136
Pennsylvania State University-Penn State Wilkes-Barre,351,PA,41.305602,-76.016151,0.9525,0.2016,0.8621,63435,9677658
Pennsylvania State University-Penn State Scranton,860,PA,41.439843,-75.621401,0.9399,0.343,0.7798,63435,15668590
Pennsylvania State University-Penn State Lehigh Valley,843,PA,40.559201,-75.40267,0.9408,0.1244,0.7917,63435,12903545
Pennsylvania State University-Penn State Altoona,2565,PA,40.541759,-78.409601,0.9576,0.1613,0.7707,63435,48849135
Pennsylvania State University-Penn State Beaver,503,PA,40.678271,-80.296316,0.932,0.2018,0.7247,63435,11521022
Pennsylvania State University-Penn State Berks,2024,PA,40.358839,-75.97329,0.9729,0.3343,0.7577,63435,33180544
Pennsylvania State University-Penn State Harrisburg,4053,PA,40.204253,-76.741216,0.9555,0.249,0.8026,63435,79725475
Pennsylvania State University-Penn State Brandywine,1189,PA,39.927123,-75.449704,0.9619,0.2562,0.7375,63435,19355317
Pennsylvania State University-Penn State DuBois,326,PA,41.127184,-78.751554,0.9237,0.2716,0.8617,63435,11521022
Pennsylvania State University-Penn State Fayette- Eberly,420,PA,39.946455,-79.659317,0.8073,0.3016,0.7368,63435,11981863
Pennsylvania State University-Penn State Hazleton,470,PA,40.98396,-76.030975,0.8991,0.1623,0.7614,63435,14746908
Pennsylvania State University-Main Campus,41417,PA,40.7965,-77.862848,0.5521,0.8328,0.9098,63435,4036966295
Pennsylvania State University-Penn State Greater Allegheny,356,PA,40.345591,-79.827428,0.8765,0.2102,0.6557,63435,12903545
Pennsylvania State University-Penn State Mont Alto,626,PA,39.842212,-77.541797,0.913,0.2738,0.7453,63435,14746908
Pennsylvania State University-Penn State Abington,3072,PA,40.117101,-75.110724,0.9341,0.2839,0.7551,63435,46084090
Pennsylvania State University-Penn State Schuylkill,593,PA,40.640512,-76.166374,0.8578,0.2637,0.8061,63435,13825227
Pennsylvania State University-Penn State York,662,PA,39.95283,-76.703486,0.9287,0.1014,0.7249,63435,15668590
Pennsylvania Academy of the Fine Arts,114,PA,39.955692,-75.163456,0.9126,0.5,0.8,29881,46134820
